Rk,Date,Tm,,Opp,Result,,Dist,Good?,Blk?
130,2016-12-19,CAR,@,WAS,W 26-15,Graham Gano\GanoGr44,38,N,N
131,2016-12-19,WAS,,CAR,L 15-26,Dustin Hopkins\HopkDu00,26,Y,N
132,2016-12-19,CAR,@,WAS,W 26-15,Graham Gano\GanoGr44,35,Y,N
133,2016-12-18,TEN,@,KAN,W 19-17,Ryan Succop\SuccRy44,39,Y,N
134,2016-12-18,OAK,@,SDG,W 19-16,Sebastian Janikowski\janikseb01,45,Y,N
135,2016-12-18,NWE,@,DEN,W 16-3,Stephen Gostkowski\GostSt20,40,Y,N
136,2016-12-18,ATL,,SFO,W 41-13,Matt Bryant\bryanmat01,50,Y,N
137,2016-12-18,PHI,@,BAL,L 26-27,Caleb Sturgis\SturCa00,29,Y,N
138,2016-12-18,ARI,,NOR,L 41-48,Chandler Catanzaro\CataCh00,55,N,N
139,2016-12-18,MIN,,IND,L 6-34,Kai Forbath\ForbKa00,32,Y,N
140,2016-12-18,DET,@,NYG,L 6-17,Matt Prater\PratMa20,48,Y,N
141,2016-12-18,DAL,,TAM,W 26-20,Dan Bailey\BailDa00,27,Y,N
142,2016-12-18,NOR,@,ARI,W 48-41,Wil Lutz\LutzWi00,37,Y,N
143,2016-12-18,GNB,@,CHI,W 30-27,Mason Crosby\CrosMa20,32,Y,N
144,2016-12-18,DEN,,NWE,L 3-16,Brandon McManus\McMaBr01,33,Y,N
145,2016-12-18,HOU,,JAX,W 21-20,Nick Novak\novaknic01,45,Y,N
146,2016-12-18,PHI,@,BAL,L 26-27,Caleb Sturgis\SturCa00,45,Y,N
147,2016-12-18,JAX,@,HOU,L 20-21,Jason Myers\MyerJa00,50,Y,N
148,2016-12-18,PIT,@,CIN,W 24-20,Chris Boswell\BoswCh00,40,Y,N
149,2016-12-18,TAM,@,DAL,L 20-26,Roberto Aguayo\AguaRo00,34,Y,N
150,2016-12-18,KAN,,TEN,L 17-19,Cairo Santos\SantCa01,34,Y,N
151,2016-12-18,OAK,@,SDG,W 19-16,Sebastian Janikowski\janikseb01,21,Y,N
152,2016-12-18,CHI,,GNB,L 27-30,Connor Barth\barthco01,26,Y,N
153,2016-12-18,BAL,,PHI,W 27-26,Justin Tucker\TuckJu00,53,Y,N
154,2016-12-18,PIT,@,CIN,W 24-20,Chris Boswell\BoswCh00,45,Y,N
155,2016-12-18,DAL,,TAM,W 26-20,Dan Bailey\BailDa00,40,Y,N
156,2016-12-18,NWE,@,DEN,W 16-3,Stephen Gostkowski\GostSt20,45,Y,N
157,2016-12-18,IND,@,MIN,W 34-6,Adam Vinatieri\vinatada01,50,Y,N
