"","Date","Name","Distance","Made","Block","H/A","SeasonPerc","Temp","Years Exp.","Average Dist."
"153","12/18/16","Justin Tucker\TuckJu00",53,"Y","N","Home",0.974,"",4,41.95
"154","12/18/16","Chris Boswell\BoswCh00",45,"Y","N","Away",0.84,"",1,40.64
"155","12/18/16","Dan Bailey\BailDa00",40,"Y","N","Home",0.844,"",5,38.41
"156","12/18/16","Stephen Gostkowski\GostSt20",45,"Y","N","Away",0.844,"",10,37.16
"157","12/18/16","Adam Vinatieri\vinatada01",50,"Y","N","Away",0.871,"",20,43.16
"158","12/18/16","Nick Novak\novaknic01",27,"Y","N","Home",0.854,"",9,36.78
"159","12/18/16","Caleb Sturgis\SturCa00",27,"Y","N","Away",0.854,"",3,37.63
"160","12/18/16","Chris Boswell\BoswCh00",30,"Y","N","Away",0.84,"",1,40.64
"161","12/18/16","Dan Bailey\BailDa00",56,"N","N","Home",0.844,"",5,38.41
"162","12/18/16","Mason Crosby\CrosMa20",18,"Y","N","Away",0.867,"",9,35.4
"163","12/18/16","Cody Parkey\ParkCo03",40,"Y","N","Away",0.8,"",2,37.6
"164","12/18/16","Nick Novak\novaknic01",39,"Y","N","Home",0.854,"",9,36.78
"165","12/18/16","Jason Myers\MyerJa00",26,"Y","N","Away",0.794,"",1,42.82
"166","12/18/16","Randy Bullock\BullRa00",22,"Y","N","Home",0.889,"",6,32.67
"167","12/18/16","Dan Carpenter\CarpDa44",34,"Y","N","Home",0.76,"",8,36.16
"168","12/18/16","Chris Boswell\BoswCh00",49,"Y","N","Away",0.84,"",1,40.64
"169","12/18/16","Dan Bailey\BailDa00",33,"Y","N","Home",0.844,"",5,38.41
"170","12/18/16","Roberto Aguayo\AguaRo00",25,"Y","N","Away",0.71,"",0,36.68
"171","12/18/16","Ryan Succop\SuccRy44",53,"Y","N","Away",0.917,"",7,39.33
"172","12/18/16","Sebastian Janikowski\janikseb01",33,"Y","N","Away",0.829,"",16,38.54
"173","12/18/16","Stephen Gostkowski\GostSt20",21,"Y","N","Away",0.844,"",10,37.16
"174","12/18/16","Matt Bryant\bryanmat01",41,"Y","N","Home",0.919,"",15,37.3
"175","12/18/16","Kai Forbath\ForbKa00",51,"Y","N","Home",1,"",5,34.33
"176","12/18/16","Matt Prater\PratMa20",33,"Y","N","Away",0.861,"",10,40.17
"177","12/18/16","Dan Bailey\BailDa00",52,"N","N","Home",0.844,"",5,38.41
"178","12/18/16","Wil Lutz\LutzWi00",39,"Y","N","Away",0.824,"",0,37.53
"179","12/18/16","Adam Vinatieri\vinatada01",48,"Y","N","Away",0.871,"",20,43.16
"180","12/18/16","Nick Novak\novaknic01",43,"Y","N","Home",0.854,"",9,36.78
"181","12/18/16","Caleb Sturgis\SturCa00",34,"Y","N","Away",0.854,"",3,37.63
"182","12/18/16","Robbie Gould\gouldrob01",47,"Y","N","Home",1,"",11,36.3
"183","12/18/16","Chris Boswell\BoswCh00",49,"Y","N","Away",0.84,"",1,40.64
