"","Date","Name","Distance","Made","Block","H.A","SeasonPerc","Temp","Years.Exp.","Average.Dist.","Career.Avg.","Dome"
"146","12/18/16","Chris Boswell\BoswCh00",30,"Y","N","Away",0.84,26,1,40.64,0.877,"NOT DOME"
"147","12/18/16","Dan Bailey\BailDa00",56,"N","N","Home",0.844,26,5,38.41,0.897,"NOT DOME"
"148","12/18/16","Mason Crosby\CrosMa20",18,"Y","N","Away",0.867,9,9,35.4,0.804,"NOT DOME"
"149","12/18/16","Cody Parkey\ParkCo03",40,"Y","N","Away",0.8,25,2,37.6,0.846,"NOT DOME"
"150","12/18/16","Nick Novak\novaknic01",39,"Y","N","Home",0.854,37,9,36.78,0.828,"NOT DOME"
"151","12/18/16","Jason Myers\MyerJa00",26,"Y","N","Away",0.794,37,1,42.82,0.824,"NOT DOME"
"152","12/18/16","Dan Carpenter\CarpDa44",34,"Y","N","Home",0.76,25,8,36.16,0.84,"NOT DOME"
"153","12/18/16","Chris Boswell\BoswCh00",49,"Y","N","Away",0.84,26,1,40.64,0.877,"NOT DOME"
"154","12/18/16","Dan Bailey\BailDa00",33,"Y","N","Home",0.844,26,5,38.41,0.897,"NOT DOME"
"155","12/18/16","Roberto Aguayo\AguaRo00",25,"Y","N","Away",0.71,26,0,36.68,0.713,"NOT DOME"
"156","12/18/16","Ryan Succop\SuccRy44",53,"Y","N","Away",0.917,2,7,39.33,0.831,"NOT DOME"
"157","12/18/16","Sebastian Janikowski\janikseb01",33,"Y","N","Away",0.829,60,16,38.54,0.804,"NOT DOME"
"158","12/18/16","Stephen Gostkowski\GostSt20",21,"Y","N","Away",0.844,27,10,37.16,0.871,"NOT DOME"
"159","12/18/16","Matt Bryant\bryanmat01",41,"Y","N","Home",0.919,65,15,37.3,0.858,"DOME"
"160","12/18/16","Matt Prater\PratMa20",33,"Y","N","Away",0.861,48,10,40.17,0.831,"NOT DOME"
"161","12/18/16","Dan Bailey\BailDa00",52,"N","N","Home",0.844,26,5,38.41,0.897,"NOT DOME"
"162","12/18/16","Wil Lutz\LutzWi00",39,"Y","N","Away",0.824,65,0,37.53,0.842,"DOME"
"163","12/18/16","Adam Vinatieri\vinatada01",48,"Y","N","Away",0.871,65,20,43.16,0.842,"DOME"
