"","X.1","X","Date","Name","Distance","Made","Block","H.A","SeasonPerc","Temp","Years.Exp.","Average.Dist.","Career.Avg.","newcol"
"139",139,139,"12/18/16","Kai Forbath\ForbKa00",32,"Y","N","Home",1,65,5,34.33,0.87,"DOME"
"140",140,140,"12/18/16","Matt Prater\PratMa20",48,"Y","N","Away",0.861,48,10,40.17,0.831,"NOT DOME"
"141",141,141,"12/18/16","Dan Bailey\BailDa00",27,"Y","N","Home",0.844,26,5,38.41,0.897,"NOT DOME"
"142",142,142,"12/18/16","Wil Lutz\LutzWi00",37,"Y","N","Away",0.824,65,0,37.53,0.842,"DOME"
"143",143,143,"12/18/16","Mason Crosby\CrosMa20",32,"Y","N","Away",0.867,9,9,35.4,0.804,"NOT DOME"
"144",144,144,"12/18/16","Brandon McManus\McMaBr01",33,"Y","N","Home",0.853,27,2,37.88,0.821,"NOT DOME"
"145",145,145,"12/18/16","Nick Novak\novaknic01",45,"Y","N","Home",0.854,37,9,36.78,0.828,"NOT DOME"
"146",146,146,"12/18/16","Caleb Sturgis\SturCa00",45,"Y","N","Away",0.854,58,3,37.63,0.81,"NOT DOME"
"147",147,147,"12/18/16","Jason Myers\MyerJa00",50,"Y","N","Away",0.794,37,1,42.82,0.824,"NOT DOME"
"148",148,148,"12/18/16","Chris Boswell\BoswCh00",40,"Y","N","Away",0.84,26,1,40.64,0.877,"NOT DOME"
"149",149,149,"12/18/16","Roberto Aguayo\AguaRo00",34,"Y","N","Away",0.71,26,0,36.68,0.713,"NOT DOME"
"150",150,150,"12/18/16","Cairo Santos\SantCa01",34,"Y","N","Home",0.886,2,2,35.63,0.843,"NOT DOME"
"151",151,151,"12/18/16","Sebastian Janikowski\janikseb01",21,"Y","N","Away",0.829,60,16,38.54,0.804,"NOT DOME"
"152",152,152,"12/18/16","Connor Barth\barthco01",26,"Y","N","Home",0.783,9,7,35.35,0.84,"NOT DOME"
"153",153,153,"12/18/16","Justin Tucker\TuckJu00",53,"Y","N","Home",0.974,58,4,41.95,0.899,"NOT DOME"
"154",154,154,"12/18/16","Chris Boswell\BoswCh00",45,"Y","N","Away",0.84,26,1,40.64,0.877,"NOT DOME"
"155",155,155,"12/18/16","Dan Bailey\BailDa00",40,"Y","N","Home",0.844,26,5,38.41,0.897,"NOT DOME"
"156",156,156,"12/18/16","Stephen Gostkowski\GostSt20",45,"Y","N","Away",0.844,27,10,37.16,0.871,"NOT DOME"
"157",157,157,"12/18/16","Adam Vinatieri\vinatada01",50,"Y","N","Away",0.871,65,20,43.16,0.842,"DOME"
"158",158,158,"12/18/16","Nick Novak\novaknic01",27,"Y","N","Home",0.854,37,9,36.78,0.828,"NOT DOME"
"159",159,159,"12/18/16","Caleb Sturgis\SturCa00",27,"Y","N","Away",0.854,58,3,37.63,0.81,"NOT DOME"
"160",160,160,"12/18/16","Chris Boswell\BoswCh00",30,"Y","N","Away",0.84,26,1,40.64,0.877,"NOT DOME"
"161",161,161,"12/18/16","Dan Bailey\BailDa00",56,"N","N","Home",0.844,26,5,38.41,0.897,"NOT DOME"
"162",162,162,"12/18/16","Mason Crosby\CrosMa20",18,"Y","N","Away",0.867,9,9,35.4,0.804,"NOT DOME"
"163",163,163,"12/18/16","Cody Parkey\ParkCo03",40,"Y","N","Away",0.8,25,2,37.6,0.846,"NOT DOME"
"164",164,164,"12/18/16","Nick Novak\novaknic01",39,"Y","N","Home",0.854,37,9,36.78,0.828,"NOT DOME"
"165",165,165,"12/18/16","Jason Myers\MyerJa00",26,"Y","N","Away",0.794,37,1,42.82,0.824,"NOT DOME"
"166",166,166,"12/18/16","Randy Bullock\BullRa00",22,"Y","N","Home",0.889,26,6,32.67,0.814,"NOT DOME"
"167",167,167,"12/18/16","Dan Carpenter\CarpDa44",34,"Y","N","Home",0.76,25,8,36.16,0.84,"NOT DOME"
"168",168,168,"12/18/16","Chris Boswell\BoswCh00",49,"Y","N","Away",0.84,26,1,40.64,0.877,"NOT DOME"
"169",169,169,"12/18/16","Dan Bailey\BailDa00",33,"Y","N","Home",0.844,26,5,38.41,0.897,"NOT DOME"
"170",170,170,"12/18/16","Roberto Aguayo\AguaRo00",25,"Y","N","Away",0.71,26,0,36.68,0.713,"NOT DOME"
"171",171,171,"12/18/16","Ryan Succop\SuccRy44",53,"Y","N","Away",0.917,2,7,39.33,0.831,"NOT DOME"
"172",172,172,"12/18/16","Sebastian Janikowski\janikseb01",33,"Y","N","Away",0.829,60,16,38.54,0.804,"NOT DOME"
"173",173,173,"12/18/16","Stephen Gostkowski\GostSt20",21,"Y","N","Away",0.844,27,10,37.16,0.871,"NOT DOME"
