"","ID","H/A","Name","FG Dist.","Good","Blk.","Avg. Dist.","Sea. Avg."
"185",185,"@","Cody Parkey\ParkCo03",35,"Y","N",37.6,"80.0%"
"186",186,"","Josh Lambo\LambJo00",35,"Y","N",36.38,"81.3%"
"187",187,"@","Sebastian Janikowski\janikseb01",44,"Y","N",38.54,"82.9%"
"188",188,"","Connor Barth\barthco01",22,"Y","N",35.35,"78.3%"
"189",189,"","Randy Bullock\BullRa00",23,"Y","N",32.67,"88.9%"
"190",190,"","Dan Carpenter\CarpDa44",21,"Y","N",36.16,"76.0%"
"191",191,"","Justin Tucker\TuckJu00",47,"Y","N",41.95,"97.4%"
"192",192,"@","Chris Boswell\BoswCh00",49,"Y","N",40.64,"84.0%"
"193",193,"","Dan Bailey\BailDa00",38,"Y","N",38.41,"84.4%"
"194",194,"","Nick Folk\FolkNi20",48,"Y","N",33.97,"87.1%"
"195",195,"","Nick Folk\FolkNi20",36,"Y","N",33.97,"87.1%"
"196",196,"@","Greg Zuerlein\ZuerGr00",36,"Y","N",38.68,"86.4%"
"197",197,"","Steven Hauschka\HausSt00",48,"Y","N",34.14,"89.2%"
"198",198,"@","Justin Tucker\TuckJu00",38,"Y","N",41.95,"97.4%"
"199",199,"@","Justin Tucker\TuckJu00",50,"Y","N",41.95,"97.4%"
"200",200,"@","Justin Tucker\TuckJu00",37,"Y","N",41.95,"97.4%"
"201",201,"@","Justin Tucker\TuckJu00",34,"N","Y",41.95,"97.4%"
"202",202,"@","Nick Novak\novaknic01",52,"Y","N",36.78,"85.4%"
"203",203,"","Jason Myers\MyerJa00",55,"Y","N",42.82,"79.4%"
"204",204,"","Phil Dawson\dawsophi01",44,"N","N",40.33,"85.7%"
"205",205,"@","Chris Boswell\BoswCh00",37,"Y","N",40.64,"84.0%"
"206",206,"","Graham Gano\GanoGr44",44,"Y","N",40.61,"78.9%"
"207",207,"","Adam Vinatieri\vinatada01",55,"N","N",43.16,"87.1%"
"208",208,"","Robbie Gould\gouldrob01",39,"Y","N",36.3,"100.0%"
"209",209,"@","Kai Forbath\ForbKa00",32,"Y","N",34.33,"100.0%"
"210",210,"@","Wil Lutz\LutzWi00",42,"Y","N",37.53,"82.4%"
"211",211,"","Mason Crosby\CrosMa20",38,"Y","N",35.4,"86.7%"
"212",212,"","Cody Parkey\ParkCo03",30,"Y","N",37.6,"80.0%"
"213",213,"","Graham Gano\GanoGr44",23,"Y","N",40.61,"78.9%"
"214",214,"@","Josh Lambo\LambJo00",32,"Y","N",36.38,"81.3%"
"215",215,"","Andrew Franks\FranAn01",21,"Y","N",32.86,"76.2%"
"216",216,"@","Nick Novak\novaknic01",41,"Y","N",36.78,"85.4%"
"217",217,"","Caleb Sturgis\SturCa00",45,"Y","N",37.63,"85.4%"
"218",218,"","Jason Myers\MyerJa00",41,"N","N",42.82,"79.4%"
"219",219,"@","Mike Nugent\nugenmik01",44,"Y","N",35.17,"79.3%"
"220",220,"","Phil Dawson\dawsophi01",47,"Y","N",40.33,"85.7%"
"221",221,"@","Nick Folk\FolkNi20",36,"Y","N",33.97,"87.1%"
"222",222,"","Roberto Aguayo\AguaRo00",39,"Y","N",36.68,"71.0%"
"223",223,"","Ryan Succop\SuccRy44",41,"Y","N",39.33,"91.7%"
"224",224,"@","Nick Novak\novaknic01",21,"Y","N",36.78,"85.4%"
"225",225,"@","Chandler Catanzaro\CataCh00",56,"Y","N",39.07,"75.0%"
"226",226,"@","Kai Forbath\ForbKa00",46,"Y","N",34.33,"100.0%"
"227",227,"","Jason Myers\MyerJa00",45,"Y","N",42.82,"79.4%"
"228",228,"","Matt Prater\PratMa20",54,"Y","N",40.17,"86.1%"
"229",229,"@","Wil Lutz\LutzWi00",22,"Y","N",37.53,"82.4%"
"230",230,"","Graham Gano\GanoGr44",41,"Y","N",40.61,"78.9%"
"231",231,"@","Brandon McManus\McMaBr01",34,"Y","N",37.88,"85.3%"
"232",232,"","Adam Vinatieri\vinatada01",32,"Y","N",43.16,"87.1%"
"233",233,"@","Dustin Hopkins\HopkDu00",38,"N","N",36.9,"81.0%"
"234",234,"","Caleb Sturgis\SturCa00",41,"Y","N",37.63,"85.4%"
"235",235,"@","Kai Forbath\ForbKa00",43,"Y","N",34.33,"100.0%"
"236",236,"@","Nick Folk\FolkNi20",50,"Y","N",33.97,"87.1%"
"237",237,"","Mason Crosby\CrosMa20",51,"N","N",35.4,"86.7%"
"238",238,"","Graham Gano\GanoGr44",45,"Y","N",40.61,"78.9%"
"239",239,"@","Nick Novak\novaknic01",24,"Y","N",36.78,"85.4%"
"240",240,"@","Connor Barth\barthco01",38,"Y","N",35.35,"78.3%"
"241",241,"","Jason Myers\MyerJa00",24,"Y","N",42.82,"79.4%"
"242",242,"@","Mike Nugent\nugenmik01",36,"N","N",35.17,"79.3%"
"243",243,"","Phil Dawson\dawsophi01",48,"N","N",40.33,"85.7%"
"244",244,"@","Chris Boswell\BoswCh00",39,"Y","N",40.64,"84.0%"
"245",245,"","Roberto Aguayo\AguaRo00",41,"Y","N",36.68,"71.0%"
"246",246,"","Ryan Succop\SuccRy44",53,"Y","N",39.33,"91.7%"
"247",247,"@","Steven Hauschka\HausSt00",28,"Y","N",34.14,"89.2%"
"248",248,"@","Chandler Catanzaro\CataCh00",41,"N","N",39.07,"75.0%"
"249",249,"@","Kai Forbath\ForbKa00",40,"Y","N",34.33,"100.0%"
"250",250,"","Matt Prater\PratMa20",29,"Y","N",40.17,"86.1%"
"251",251,"@","Dan Bailey\BailDa00",55,"N","N",38.41,"84.4%"
"252",252,"@","Wil Lutz\LutzWi00",34,"Y","N",37.53,"82.4%"
"253",253,"@","Nick Novak\novaknic01",34,"Y","N",36.78,"85.4%"
"254",254,"","Caleb Sturgis\SturCa00",36,"Y","N",37.63,"85.4%"
"255",255,"","Jason Myers\MyerJa00",61,"N","Y",42.82,"79.4%"
"256",256,"@","Nick Folk\FolkNi20",30,"Y","N",33.97,"87.1%"
"257",257,"","Roberto Aguayo\AguaRo00",26,"Y","N",36.68,"71.0%"
"258",258,"@","Sebastian Janikowski\janikseb01",33,"Y","N",38.54,"82.9%"
"259",259,"@","Sebastian Janikowski\janikseb01",44,"Y","N",38.54,"82.9%"
"260",260,"@","Adam Vinatieri\vinatada01",53,"Y","N",43.16,"87.1%"
"261",261,"","Nick Folk\FolkNi20",38,"Y","N",33.97,"87.1%"
"262",262,"@","Adam Vinatieri\vinatada01",36,"Y","N",43.16,"87.1%"
"263",263,"","Connor Barth\barthco01",45,"Y","N",35.35,"78.3%"
"264",264,"","Mike Nugent\nugenmik01",38,"Y","N",35.17,"79.3%"
"265",265,"@","Roberto Aguayo\AguaRo00",35,"Y","N",36.68,"71.0%"
"266",266,"","Sebastian Janikowski\janikseb01",47,"Y","N",38.54,"82.9%"
"267",267,"","Stephen Gostkowski\GostSt20",45,"Y","N",37.16,"84.4%"
"268",268,"","Matt Bryant\bryanmat01",22,"Y","N",37.3,"91.9%"
"269",269,"","Steven Hauschka\HausSt00",28,"Y","N",34.14,"89.2%"
"270",270,"","Chandler Catanzaro\CataCh00",53,"N","N",39.07,"75.0%"
"271",271,"@","Matt Prater\PratMa20",52,"Y","N",40.17,"86.1%"
"272",272,"","Mike Nugent\nugenmik01",32,"Y","N",35.17,"79.3%"
"273",273,"","Justin Tucker\TuckJu00",55,"Y","N",41.95,"97.4%"
"274",274,"","Randy Bullock\BullRa00",44,"Y","N",32.67,"88.9%"
"275",275,"@","Brandon McManus\McMaBr01",32,"Y","N",37.88,"85.3%"
"276",276,"@","Dustin Hopkins\HopkDu00",20,"Y","N",36.9,"81.0%"
"277",277,"","Steven Hauschka\HausSt00",23,"Y","N",34.14,"89.2%"
"278",278,"@","Matt Prater\PratMa20",29,"Y","N",40.17,"86.1%"
"279",279,"@","Dan Carpenter\CarpDa44",27,"Y","N",36.16,"76.0%"
"280",280,"","Matt Bryant\bryanmat01",59,"Y","N",37.3,"91.9%"
"281",281,"","Mike Nugent\nugenmik01",26,"Y","N",35.17,"79.3%"
"282",282,"@","Phil Dawson\dawsophi01",28,"Y","N",40.33,"85.7%"
"283",283,"","Randy Bullock\BullRa00",38,"Y","N",32.67,"88.9%"
"284",284,"@","Roberto Aguayo\AguaRo00",27,"Y","N",36.68,"71.0%"
"285",285,"","Sebastian Janikowski\janikseb01",41,"Y","N",38.54,"82.9%"
"286",286,"","Stephen Gostkowski\GostSt20",48,"Y","N",37.16,"84.4%"
"287",287,"","Steven Hauschka\HausSt00",31,"Y","N",34.14,"89.2%"
"288",288,"","Chandler Catanzaro\CataCh00",28,"Y","N",39.07,"75.0%"
"289",289,"@","Matt Prater\PratMa20",27,"Y","N",40.17,"86.1%"
"290",290,"","Wil Lutz\LutzWi00",32,"Y","N",37.53,"82.4%"
"291",291,"","Josh Lambo\LambJo00",53,"N","N",36.38,"81.3%"
"292",292,"@","Andrew Franks\FranAn01",46,"N","N",32.86,"76.2%"
"293",293,"@","Dustin Hopkins\HopkDu00",47,"Y","N",36.9,"81.0%"
"294",294,"@","Caleb Sturgis\SturCa00",51,"N","N",37.63,"85.4%"
"295",295,"@","Matt Prater\PratMa20",27,"Y","N",40.17,"86.1%"
"296",296,"","Stephen Gostkowski\GostSt20",45,"Y","N",37.16,"84.4%"
"297",297,"@","Greg Zuerlein\ZuerGr00",44,"Y","N",38.68,"86.4%"
"298",298,"","Matt Bryant\bryanmat01",22,"Y","N",37.3,"91.9%"
"299",299,"","Jason Myers\MyerJa00",47,"Y","N",42.82,"79.4%"
"300",300,"","Mike Nugent\nugenmik01",33,"Y","N",35.17,"79.3%"
"301",301,"@","Phil Dawson\dawsophi01",31,"Y","N",40.33,"85.7%"
"302",302,"","Randy Bullock\BullRa00",34,"Y","N",32.67,"88.9%"
"303",303,"@","Roberto Aguayo\AguaRo00",31,"N","N",36.68,"71.0%"
"304",304,"","Sebastian Janikowski\janikseb01",47,"Y","N",38.54,"82.9%"
"305",305,"","Stephen Gostkowski\GostSt20",28,"Y","N",37.16,"84.4%"
"306",306,"@","Brandon McManus\McMaBr01",41,"Y","N",37.88,"85.3%"
"307",307,"@","Dustin Hopkins\HopkDu00",53,"Y","N",36.9,"81.0%"
"308",308,"","Steven Hauschka\HausSt00",37,"Y","N",34.14,"89.2%"
"309",309,"@","Matt Prater\PratMa20",32,"Y","N",40.17,"86.1%"
"310",310,"","Wil Lutz\LutzWi00",40,"Y","N",37.53,"82.4%"
"311",311,"@","Dan Bailey\BailDa00",39,"Y","N",38.41,"84.4%"
"312",312,"","Kai Forbath\ForbKa00",36,"Y","N",34.33,"100.0%"
"313",313,"","Kai Forbath\ForbKa00",48,"Y","N",34.33,"100.0%"
"314",314,"","Kai Forbath\ForbKa00",33,"Y","N",34.33,"100.0%"
"315",315,"","Caleb Sturgis\SturCa00",50,"Y","N",37.63,"85.4%"
"316",316,"@","Mason Crosby\CrosMa20",33,"Y","N",35.4,"86.7%"
"317",317,"","Caleb Sturgis\SturCa00",48,"Y","N",37.63,"85.4%"
"318",318,"@","Mason Crosby\CrosMa20",32,"Y","N",35.4,"86.7%"
"319",319,"@","Cairo Santos\SantCa01",37,"Y","N",35.63,"88.6%"
"320",320,"@","Josh Lambo\LambJo00",54,"N","N",36.38,"81.3%"
"321",321,"@","Stephen Gostkowski\GostSt20",39,"N","N",37.16,"84.4%"
"322",322,"","Brandon McManus\McMaBr01",44,"Y","N",37.88,"85.3%"
"323",323,"","Andrew Franks\FranAn01",24,"Y","N",32.86,"76.2%"
"324",324,"","Nick Folk\FolkNi20",54,"N","Y",33.97,"87.1%"
"325",325,"@","Ryan Succop\SuccRy44",31,"Y","N",39.33,"91.7%"
"326",326,"","Nick Novak\novaknic01",19,"Y","N",36.78,"85.4%"
"327",327,"@","Phil Dawson\dawsophi01",36,"Y","N",40.33,"85.7%"
"328",328,"","Roberto Aguayo\AguaRo00",48,"N","N",36.68,"71.0%"
"329",329,"","Sebastian Janikowski\janikseb01",23,"Y","N",38.54,"82.9%"
"330",330,"@","Stephen Gostkowski\GostSt20",41,"Y","N",37.16,"84.4%"
"331",331,"@","Chandler Catanzaro\CataCh00",25,"Y","N",39.07,"75.0%"
"332",332,"","Justin Tucker\TuckJu00",57,"Y","N",41.95,"97.4%"
"333",333,"@","Stephen Gostkowski\GostSt20",28,"Y","N",37.16,"84.4%"
