"","Month","Date","Team","HomeAway","Opponent","Score","Name","Distance","Made","Location","Dome","SeasonAvg","YearsExp","AverageDist","CareerAvg"
"105",4,"2016-12-24","CAR","Home","ATL","L 16-33","Graham Gano\GanoGr44",40,"Y","CAR","Not Dome",0.789,7,40.61,0.8
"106",4,"2016-12-24","ATL","Away","CAR","W 33-16","Matt Bryant\bryanmat01",50,"Y","CAR","Not Dome",0.919,15,37.3,0.858
"107",4,"2016-12-24","JAX","Home","TEN","W 38-17","Jason Myers\MyerJa00",29,"Y","JAX","Not Dome",0.794,1,42.82,0.824
"108",4,"2016-12-24","BUF","Home","MIA","L 31-34","Dan Carpenter\CarpDa44",28,"Y","BUF","Not Dome",0.76,8,36.16,0.84
"109",4,"2016-12-24","TAM","Away","NOR","L 24-31","Roberto Aguayo\AguaRo00",35,"Y","NOR","Dome",0.71,0,36.68,0.713
"110",4,"2016-12-24","SDG","Away","CLE","L 17-20","Josh Lambo\LambJo00",45,"N","CLE","Not Dome",0.813,1,36.38,0.813
"112",4,"2016-12-22","PHI","Home","NYG","W 24-19","Caleb Sturgis\SturCa00",41,"Y","PHI","Not Dome",0.854,3,37.63,0.81
"113",4,"2016-12-19","CAR","Away","WAS","W 26-15","Graham Gano\GanoGr44",35,"Y","WAS","Not Dome",0.789,7,40.61,0.8
"114",4,"2016-12-19","WAS","Home","CAR","L 15-26","Dustin Hopkins\HopkDu00",43,"Y","WAS","Not Dome",0.81,2,36.9,0.845
"115",4,"2016-12-19","CAR","Away","WAS","W 26-15","Graham Gano\GanoGr44",23,"Y","WAS","Not Dome",0.789,7,40.61,0.8
"116",4,"2016-12-19","WAS","Home","CAR","L 15-26","Dustin Hopkins\HopkDu00",34,"Y","WAS","Not Dome",0.81,2,36.9,0.845
"117",4,"2016-12-19","CAR","Away","WAS","W 26-15","Graham Gano\GanoGr44",41,"Y","WAS","Not Dome",0.789,7,40.61,0.8
"118",4,"2016-12-19","CAR","Away","WAS","W 26-15","Graham Gano\GanoGr44",23,"Y","WAS","Not Dome",0.789,7,40.61,0.8
"119",4,"2016-12-19","WAS","Home","CAR","L 15-26","Dustin Hopkins\HopkDu00",26,"Y","WAS","Not Dome",0.81,2,36.9,0.845
"120",4,"2016-12-19","CAR","Away","WAS","W 26-15","Graham Gano\GanoGr44",38,"N","WAS","Not Dome",0.789,7,40.61,0.8
"121",4,"2016-12-18","OAK","Away","SDG","W 19-16","Sebastian Janikowski\janikseb01",44,"Y","SDG","Not Dome",0.829,16,38.54,0.804
"122",4,"2016-12-18","CHI","Home","GNB","L 27-30","Connor Barth\barthco01",22,"Y","CHI","Not Dome",0.783,7,35.35,0.84
"123",4,"2016-12-18","BUF","Home","CLE","W 33-13","Dan Carpenter\CarpDa44",21,"Y","BUF","Not Dome",0.76,8,36.16,0.84
"124",4,"2016-12-18","BAL","Home","PHI","W 27-26","Justin Tucker\TuckJu00",47,"Y","BAL","Not Dome",0.974,4,41.95,0.899
"125",4,"2016-12-18","PIT","Away","CIN","W 24-20","Chris Boswell\BoswCh00",49,"Y","CIN","Not Dome",0.84,1,40.64,0.877
"126",4,"2016-12-18","DAL","Home","TAM","W 26-20","Dan Bailey\BailDa00",38,"Y","DAL","Dome",0.844,5,38.41,0.897
"127",4,"2016-12-18","SDG","Home","OAK","L 16-19","Josh Lambo\LambJo00",35,"Y","SDG","Not Dome",0.813,1,36.38,0.813
"128",4,"2016-12-18","OAK","Away","SDG","W 19-16","Sebastian Janikowski\janikseb01",45,"Y","SDG","Not Dome",0.829,16,38.54,0.804
"129",4,"2016-12-18","NWE","Away","DEN","W 16-3","Stephen Gostkowski\GostSt20",40,"Y","DEN","Not Dome",0.844,10,37.16,0.871
"130",4,"2016-12-18","ATL","Home","SFO","W 41-13","Matt Bryant\bryanmat01",50,"Y","ATL","Dome",0.919,15,37.3,0.858
"131",4,"2016-12-18","PHI","Away","BAL","L 26-27","Caleb Sturgis\SturCa00",29,"Y","BAL","Not Dome",0.854,3,37.63,0.81
"132",4,"2016-12-18","ARI","Home","NOR","L 41-48","Chandler Catanzaro\CataCh00",55,"N","ARI","Dome",0.75,2,39.07,0.851
"133",4,"2016-12-18","DET","Away","NYG","L 6-17","Matt Prater\PratMa20",48,"Y","NYG","Not Dome",0.861,10,40.17,0.831
"134",4,"2016-12-18","DAL","Home","TAM","W 26-20","Dan Bailey\BailDa00",27,"Y","DAL","Dome",0.844,5,38.41,0.897
"135",4,"2016-12-18","NOR","Away","ARI","W 48-41","Wil Lutz\LutzWi00",37,"Y","ARI","Dome",0.824,0,37.53,0.842
"136",4,"2016-12-18","GNB","Away","CHI","W 30-27","Mason Crosby\CrosMa20",32,"Y","CHI","Not Dome",0.867,9,35.4,0.804
"137",4,"2016-12-18","TEN","Away","KAN","W 19-17","Ryan Succop\SuccRy44",39,"Y","KAN","Not Dome",0.917,7,39.33,0.831
"138",4,"2016-12-18","DEN","Home","NWE","L 3-16","Brandon McManus\McMaBr01",33,"Y","DEN","Not Dome",0.853,2,37.88,0.821
"139",4,"2016-12-18","HOU","Home","JAX","W 21-20","Nick Novak\novaknic01",45,"Y","HOU","Dome",0.854,9,36.78,0.828
"140",4,"2016-12-18","PHI","Away","BAL","L 26-27","Caleb Sturgis\SturCa00",45,"Y","BAL","Not Dome",0.854,3,37.63,0.81
"141",4,"2016-12-18","JAX","Away","HOU","L 20-21","Jason Myers\MyerJa00",50,"Y","HOU","Dome",0.794,1,42.82,0.824
"142",4,"2016-12-18","PIT","Away","CIN","W 24-20","Chris Boswell\BoswCh00",40,"Y","CIN","Not Dome",0.84,1,40.64,0.877
"143",4,"2016-12-18","TAM","Away","DAL","L 20-26","Roberto Aguayo\AguaRo00",34,"Y","DAL","Dome",0.71,0,36.68,0.713
"144",4,"2016-12-18","OAK","Away","SDG","W 19-16","Sebastian Janikowski\janikseb01",21,"Y","SDG","Not Dome",0.829,16,38.54,0.804
"145",4,"2016-12-18","CHI","Home","GNB","L 27-30","Connor Barth\barthco01",26,"Y","CHI","Not Dome",0.783,7,35.35,0.84
"146",4,"2016-12-18","BAL","Home","PHI","W 27-26","Justin Tucker\TuckJu00",53,"Y","BAL","Not Dome",0.974,4,41.95,0.899
"147",4,"2016-12-18","PIT","Away","CIN","W 24-20","Chris Boswell\BoswCh00",45,"Y","CIN","Not Dome",0.84,1,40.64,0.877
"148",4,"2016-12-18","DAL","Home","TAM","W 26-20","Dan Bailey\BailDa00",40,"Y","DAL","Dome",0.844,5,38.41,0.897
"149",4,"2016-12-18","KAN","Home","TEN","L 17-19","Cairo Santos\SantCa01",34,"Y","KAN","Not Dome",0.886,2,35.63,0.843
"150",4,"2016-12-18","NWE","Away","DEN","W 16-3","Stephen Gostkowski\GostSt20",45,"Y","DEN","Not Dome",0.844,10,37.16,0.871
"151",4,"2016-12-18","IND","Away","MIN","W 34-6","Adam Vinatieri\vinatada01",50,"Y","MIN","Dome",0.871,20,43.16,0.842
"152",4,"2016-12-18","HOU","Home","JAX","W 21-20","Nick Novak\novaknic01",27,"Y","HOU","Dome",0.854,9,36.78,0.828
"153",4,"2016-12-18","PHI","Away","BAL","L 26-27","Caleb Sturgis\SturCa00",27,"Y","BAL","Not Dome",0.854,3,37.63,0.81
"154",4,"2016-12-18","PIT","Away","CIN","W 24-20","Chris Boswell\BoswCh00",30,"Y","CIN","Not Dome",0.84,1,40.64,0.877
"155",4,"2016-12-18","DAL","Home","TAM","W 26-20","Dan Bailey\BailDa00",56,"N","DAL","Dome",0.844,5,38.41,0.897
"156",4,"2016-12-18","GNB","Away","CHI","W 30-27","Mason Crosby\CrosMa20",18,"Y","CHI","Not Dome",0.867,9,35.4,0.804
"157",4,"2016-12-18","CLE","Away","BUF","L 13-33","Cody Parkey\ParkCo03",40,"Y","BUF","Not Dome",0.8,2,37.6,0.846
"158",4,"2016-12-18","HOU","Home","JAX","W 21-20","Nick Novak\novaknic01",39,"Y","HOU","Dome",0.854,9,36.78,0.828
"159",4,"2016-12-18","JAX","Away","HOU","L 20-21","Jason Myers\MyerJa00",26,"Y","HOU","Dome",0.794,1,42.82,0.824
"160",4,"2016-12-18","BUF","Home","CLE","W 33-13","Dan Carpenter\CarpDa44",34,"Y","BUF","Not Dome",0.76,8,36.16,0.84
"161",4,"2016-12-18","PIT","Away","CIN","W 24-20","Chris Boswell\BoswCh00",49,"Y","CIN","Not Dome",0.84,1,40.64,0.877
"162",4,"2016-12-18","DAL","Home","TAM","W 26-20","Dan Bailey\BailDa00",33,"Y","DAL","Dome",0.844,5,38.41,0.897
"163",4,"2016-12-18","TAM","Away","DAL","L 20-26","Roberto Aguayo\AguaRo00",25,"Y","DAL","Dome",0.71,0,36.68,0.713
"164",4,"2016-12-18","OAK","Away","SDG","W 19-16","Sebastian Janikowski\janikseb01",33,"Y","SDG","Not Dome",0.829,16,38.54,0.804
"165",4,"2016-12-18","NWE","Away","DEN","W 16-3","Stephen Gostkowski\GostSt20",21,"Y","DEN","Not Dome",0.844,10,37.16,0.871
"166",4,"2016-12-18","ATL","Home","SFO","W 41-13","Matt Bryant\bryanmat01",41,"Y","ATL","Dome",0.919,15,37.3,0.858
"167",4,"2016-12-18","DET","Away","NYG","L 6-17","Matt Prater\PratMa20",33,"Y","NYG","Not Dome",0.861,10,40.17,0.831
"168",4,"2016-12-18","DAL","Home","TAM","W 26-20","Dan Bailey\BailDa00",52,"N","DAL","Dome",0.844,5,38.41,0.897
"169",4,"2016-12-18","NOR","Away","ARI","W 48-41","Wil Lutz\LutzWi00",39,"Y","ARI","Dome",0.824,0,37.53,0.842
"170",4,"2016-12-18","TEN","Away","KAN","W 19-17","Ryan Succop\SuccRy44",53,"Y","KAN","Not Dome",0.917,7,39.33,0.831
"171",4,"2016-12-18","IND","Away","MIN","W 34-6","Adam Vinatieri\vinatada01",48,"Y","MIN","Dome",0.871,20,43.16,0.842
"172",4,"2016-12-18","HOU","Home","JAX","W 21-20","Nick Novak\novaknic01",43,"Y","HOU","Dome",0.854,9,36.78,0.828
"173",4,"2016-12-18","PHI","Away","BAL","L 26-27","Caleb Sturgis\SturCa00",34,"Y","BAL","Not Dome",0.854,3,37.63,0.81
"174",4,"2016-12-18","PIT","Away","CIN","W 24-20","Chris Boswell\BoswCh00",49,"Y","CIN","Not Dome",0.84,1,40.64,0.877
"175",4,"2016-12-18","GNB","Away","CHI","W 30-27","Mason Crosby\CrosMa20",34,"Y","CHI","Not Dome",0.867,9,35.4,0.804
"176",4,"2016-12-18","CLE","Away","BUF","L 13-33","Cody Parkey\ParkCo03",35,"Y","BUF","Not Dome",0.8,2,37.6,0.846
"177",4,"2016-12-17","NYJ","Home","MIA","L 13-34","Nick Folk\FolkNi20",48,"Y","NYJ","Not Dome",0.871,9,33.97,0.813
"178",4,"2016-12-17","NYJ","Home","MIA","L 13-34","Nick Folk\FolkNi20",36,"Y","NYJ","Not Dome",0.871,9,33.97,0.813
