"","X","X.1","team","opponent","Final.Score","Kicker","Distance","Made.","Block.","Home.Away","Season.Percentages","Temperature","Years.played","Player","PERCENTAGE","Years.Played","Years.played.in.2016.Season"
"144",144,"12/18/16","DEN","NWE","L 3-16","Brandon McManus",33,"Y","N","Home",85,"",2,"",NA,NA,NA
"145",145,"12/18/16","HOU","JAX","W 21-20","Nick Novak",45,"Y","N","Home",85,"",9,"",NA,NA,NA
"146",146,"12/18/16","PHI","BAL","L 26-27","Caleb Sturgis",45,"Y","N","Away",85,"",3,"",NA,NA,NA
"147",147,"12/18/16","JAX","HOU","L 20-21","Jason Myers",50,"Y","N","Away",79,"",1,"",NA,NA,NA
"148",148,"12/18/16","PIT","CIN","W 24-20","Chris Boswell",40,"Y","N","Away",84,"",1,"",NA,NA,NA
"149",149,"12/18/16","TAM","DAL","L 20-26","Roberto Aguayo",34,"Y","N","Away",71,"",0,"",NA,NA,NA
"150",150,"12/18/16","KAN","TEN","L 17-19","Cairo Santos",34,"Y","N","Home",89,"",2,"",NA,NA,NA
"151",151,"12/18/16","OAK","SDG","W 19-16","Sebastian Janikowski",21,"Y","N","Away",83,"",16,"",NA,NA,NA
"152",152,"12/18/16","CHI","GNB","L 27-30","Connor Barth",26,"Y","N","Home",78,"",7,"",NA,NA,NA
"153",153,"12/18/16","BAL","PHI","W 27-26","Justin Tucker",53,"Y","N","Home",97,"",4,"",NA,NA,NA
"154",154,"12/18/16","PIT","CIN","W 24-20","Chris Boswell",45,"Y","N","Away",84,"",1,"",NA,NA,NA
"155",155,"12/18/16","DAL","TAM","W 26-20","Dan Bailey",40,"Y","N","Home",84,"",5,"",NA,NA,NA
"156",156,"12/18/16","NWE","DEN","W 16-3","Stephen Gostkowski",45,"Y","N","Away",84,"",10,"",NA,NA,NA
"157",157,"12/18/16","IND","MIN","W 34-6","Adam Vinatieri",50,"Y","N","Away",87,"",20,"",NA,NA,NA
"158",158,"12/18/16","HOU","JAX","W 21-20","Nick Novak",27,"Y","N","Home",85,"",9,"",NA,NA,NA
"159",159,"12/18/16","PHI","BAL","L 26-27","Caleb Sturgis",27,"Y","N","Away",85,"",3,"",NA,NA,NA
"160",160,"12/18/16","PIT","CIN","W 24-20","Chris Boswell",30,"Y","N","Away",84,"",1,"",NA,NA,NA
"161",161,"12/18/16","DAL","TAM","W 26-20","Dan Bailey",56,"N","N","Home",84,"",5,"",NA,NA,NA
"162",162,"12/18/16","GNB","CHI","W 30-27","Mason Crosby",18,"Y","N","Away",87,"",9,"",NA,NA,NA
"163",163,"12/18/16","CLE","BUF","L 13-33","Cody Parkey",40,"Y","N","Away",80,"",2,"",NA,NA,NA
"164",164,"12/18/16","HOU","JAX","W 21-20","Nick Novak",39,"Y","N","Home",85,"",9,"",NA,NA,NA
"165",165,"12/18/16","JAX","HOU","L 20-21","Jason Myers",26,"Y","N","Away",79,"",1,"",NA,NA,NA
"166",166,"12/18/16","CIN","PIT","L 20-24","Randy Bullock",22,"Y","N","Home",83,"",6,"",NA,NA,NA
"167",167,"12/18/16","BUF","CLE","W 33-13","Dan Carpenter",34,"Y","N","Home",76,"",8,"",NA,NA,NA
"168",168,"12/18/16","PIT","CIN","W 24-20","Chris Boswell",49,"Y","N","Away",84,"",1,"",NA,NA,NA
"169",169,"12/18/16","DAL","TAM","W 26-20","Dan Bailey",33,"Y","N","Home",84,"",5,"",NA,NA,NA
"170",170,"12/18/16","TAM","DAL","L 20-26","Roberto Aguayo",25,"Y","N","Away",71,"",0,"",NA,NA,NA
"171",171,"12/18/16","TEN","KAN","W 19-17","Ryan Succop",53,"Y","N","Away",92,"",7,"",NA,NA,NA
"172",172,"12/18/16","OAK","SDG","W 19-16","Sebastian Janikowski",33,"Y","N","Away",83,"",16,"",NA,NA,NA
"173",173,"12/18/16","NWE","DEN","W 16-3","Stephen Gostkowski",21,"Y","N","Away",84,"",10,"",NA,NA,NA
"174",174,"12/18/16","ATL","SFO","W 41-13","Matt Bryant",41,"Y","N","Home",92,"",15,"",NA,NA,NA
"175",175,"12/18/16","MIN","IND","L 6-34","Kai Forbath",51,"Y","N","Home",100,"",5,"",NA,NA,NA
"176",176,"12/18/16","DET","NYG","L 6-17","Matt Prater",33,"Y","N","Away",86,"",10,"",NA,NA,NA
"177",177,"12/18/16","DAL","TAM","W 26-20","Dan Bailey",52,"N","N","Home",84,"",5,"",NA,NA,NA
"178",178,"12/18/16","NOR","ARI","W 48-41","Wil Lutz",39,"Y","N","Away",82,"",0,"",NA,NA,NA
